Accession	Value1	Value2	Value3	Value4	Value5	Value6	Value7	Value8	Value9	Value10	Description
NM_031444	710	951	442	444	161	894	391	262	708	261	Protein C22orf13 (Protein LLN4). [Source:Uniprot/SWISSPROT;Acc:Q96NT3]
NM_025045	210	204	212	190	832	928	826	318	544	473	BAI1-associated protein 2-like 2 [Source:RefSeq_peptide;Acc:NP_079321]
NM_001002878	231	713	318	895	850	848	19	268	958	890	Protein C22orf19 (NF2/meningioma region protein pK1.3) (Placental protein 39.2). [Source:Uniprot/SWISSPROT;Acc:Q13769]
NM_001024938	641	592	95	107	241	631	674	646	712	210	Solute carrier family 2, facilitated glucose transporter member 11 (Glucose transporter type 11) (Glucose transporter type 10). [Source:Uniprot/SWISSPROT;Acc:Q9BYW1]
NM_013430	211	483	57	12	64	821	332	395	104	712	Gamma-glutamyltranspeptidase 1 precursor (EC 2.3.2.2) (Gamma- glutamyltransferase 1) (CD224 antigen) [Contains: Gamma- glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain]. [Source:Uniprot/SWISSPROT;Acc:P19440]
NM_013412	885	271	206	198	86	567	989	731	169	310	Rab-like protein 2B. [Source:Uniprot/SWISSPROT;Acc:Q9UNT1]
NM_014577	685	172	364	859	567	146	967	321	828	25	Bromodomain-containing protein 1 (BR140-like protein). [Source:Uniprot/SWISSPROT;Acc:O95696]
NM_017436	505	682	322	334	653	672	72	846	62	921	Lactosylceramide 4-alpha-galactosyltransferase (EC 2.4.1.228) (Alpha- 1,4-galactosyltransferase) (UDP-galactose:beta-D-galactosyl-beta1-R 4- alpha-D-galactosyltransferase) (Alpha-1,4-N- acetylglucosaminyltransferase) (Alpha4Gal-T1) (Globotriaosylceramide [Source:Uniprot/SWISSPROT;Acc:Q9NPC4]
NM_170694	951	164	749	405	448	59	206	747	912	344	Serine hydrolase-like protein 2 (EC 3.1.-.-). [Source:Uniprot/SWISSPROT;Acc:Q9NQF3]
NM_001002876	887	369	197	585	235	61	100	394	885	970	Proliferation associated nuclear element protein 1. [Source:Uniprot/SWISSPROT;Acc:Q9NSP4]
NM_181826	507	630	226	559	649	244	956	555	377	91	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_005675	801	424	858	456	43	409	605	595	25	644	DGCR6 protein (DiGeorge syndrome critical region 6). [Source:Uniprot/SWISSPROT;Acc:Q14129]
NM_203378	240	72	274	393	901	157	419	948	698	88	Myoglobin. [Source:Uniprot/SWISSPROT;Acc:P02144]
NM_001017529	540	189	125	463	112	379	829	549	209	184	Rho-GTPase-activating protein 8. [Source:Uniprot/SWISSPROT;Acc:Q9NSG0]
NM_003935	652	786	106	483	345	274	954	973	859	516	DNA topoisomerase III beta-1 (EC 5.99.1.2). [Source:Uniprot/SWISSPROT;Acc:O95985]
NM_016091	671	123	627	202	711	487	736	321	866	923	Eukaryotic translation initiation factor 3 subunit 6 interacting protein. [Source:Uniprot/SWISSPROT;Acc:Q9Y262]
NM_001031801	399	367	760	746	630	936	183	335	532	492	LIM domain kinase 2 (EC 2.7.1.-) (LIMK-2). [Source:Uniprot/SWISSPROT;Acc:P53671]
NM_000355	933	244	102	568	315	329	964	213	948	942	Transcobalamin II precursor (TCII) (TC II). [Source:Uniprot/SWISSPROT;Acc:P20062]
NM_182661	921	934	54	706	757	932	862	909	172	919	Ceramide kinase (EC 2.7.1.138) (Acylsphingosine kinase) (hCERK) (Lipid kinase 4) (LK4). [Source:Uniprot/SWISSPROT;Acc:Q8TCT0]
NM_001008568	305	49	270	279	653	566	499	866	238	278	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61). [Source:Uniprot/SWISSPROT;Acc:O75648]
NM_181830	457	220	934	570	463	480	550	850	299	774	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_014838	776	319	36	368	864	572	348	361	671	76	Zinc finger BED domain containing protein 4. [Source:Uniprot/SWISSPROT;Acc:O75132]
NM_014775	211	196	248	41	409	777	611	727	741	475	spindle assembly associated Sfi1 homolog isoform b [Source:RefSeq_peptide;Acc:NP_055590]
NM_138957	859	713	337	790	296	159	1	972	711	594	Mitogen-activated protein kinase 1 (EC 2.7.1.37) (Extracellular signal-regulated kinase 2) (ERK-2) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2) (p42-MAPK) (ERT1). [Source:Uniprot/SWISSPROT;Acc:P28482]
NM_005265	963	362	468	262	978	746	574	554	146	499	Gamma-glutamyltranspeptidase 1 precursor (EC 2.3.2.2) (Gamma- glutamyltransferase 1) (CD224 antigen) [Contains: Gamma- glutamyltranspeptidase 1 heavy chain; Gamma-glutamyltranspeptidase 1 light chain]. [Source:Uniprot/SWISSPROT;Acc:P19440]
NM_016431	365	561	385	805	987	273	948	722	303	468	C-jun-amino-terminal kinase interacting protein 2 (JNK-interacting protein 2) (JIP-2) (JNK MAP kinase scaffold protein 2) (Islet-brain-2) (IB-2) (Mitogen-activated protein kinase 8-interacting protein 2). [Source:Uniprot/SWISSPROT;Acc:Q13387]
NM_001007188	896	392	408	803	935	162	386	160	514	900	DEP domain containing protein 5. [Source:Uniprot/SWISSPROT;Acc:O75140]
NM_012179	482	760	603	291	336	86	53	399	436	144	F-box only protein 7. [Source:Uniprot/SWISSPROT;Acc:Q9Y3I1]
NM_030758	930	260	450	92	757	804	594	775	47	877	Oxysterol-binding protein 2 (Oxysterol binding protein-related protein 4) (OSBP-related protein 4) (ORP-4). [Source:Uniprot/SWISSPROT;Acc:Q969R2]
NM_023004	682	180	37	653	29	366	44	205	851	880	Reticulon 4 receptor precursor (Nogo receptor) (NgR) (Nogo-66 receptor). [Source:Uniprot/SWISSPROT;Acc:Q9BZR6]
NM_006440	331	525	328	207	896	780	973	261	97	66	Thioredoxin reductase 2, mitochondrial precursor (EC 1.8.1.9) (TR3) (TR-beta) (Selenoprotein Z) (SelZ). [Source:Uniprot/SWISSPROT;Acc:Q9NNW7]
NM_001675	485	486	509	464	715	555	923	659	925	233	Cyclic-AMP-dependent transcription factor ATF-4 (Activating transcription factor 4) (DNA-binding protein TAXREB67) (Cyclic AMP response element-binding protein 2) (CREB2). [Source:Uniprot/SWISSPROT;Acc:P18848]
NM_174932	898	917	982	413	765	700	648	877	491	690	Bactericidal/permeability-increasing protein-like 2 precursor. [Source:Uniprot/SWISSPROT;Acc:Q8NFQ6]
NM_182895	621	784	314	515	492	448	550	953	253	416	Scavenger receptor class F member 2 precursor (Scavenger receptor expressed by endothelial cells 2 protein) (SREC-II) (SRECRP-1). [Source:Uniprot/SWISSPROT;Acc:Q96GP6]
NM_181334	480	892	536	386	725	839	229	991	8	241	Rho-GTPase-activating protein 8. [Source:Uniprot/SWISSPROT;Acc:Q9NSG0]
NM_012323	617	987	727	419	718	873	215	380	969	467	Transcription factor MafF (V-maf musculoaponeurotic fibrosarcoma oncogene homolog F) (U-Maf). [Source:Uniprot/SWISSPROT;Acc:Q9ULX9]
NM_013387	132	299	905	489	854	946	2	653	304	842	ubiquinol-cytochrome c reductase complex 7.2kDa protein isoform b [Source:RefSeq_peptide;Acc:NP_001003684]
NM_004861	331	333	101	427	188	302	449	16	344	597	Galactosylceramide sulfotransferase (EC 2.8.2.11) (GalCer sulfotransferase) (Cerebroside sulfotransferase) (3'- phosphoadenylylsulfate:galactosylceramide 3'-sulfotransferase) (3'- phosphoadenosine-5'phosphosulfate:GalCer sulfotransferase). [Source:Uniprot/SWISSPROT;Acc:Q99999]
NM_153609	671	828	85	38	787	868	686	420	53	948	Transmembrane protease, serine 6 (EC 3.4.21.-) (Matriptase-2). [Source:Uniprot/SWISSPROT;Acc:Q8IU80]
NM_002745	482	924	854	618	196	771	874	297	665	650	Mitogen-activated protein kinase 1 (EC 2.7.1.37) (Extracellular signal-regulated kinase 2) (ERK-2) (Mitogen-activated protein kinase 2) (MAP kinase 2) (MAPK 2) (p42-MAPK) (ERT1). [Source:Uniprot/SWISSPROT;Acc:P28482]
NM_005315	930	385	644	952	391	630	816	348	587	536	Homeobox protein goosecoid-like (GSC-2). [Source:Uniprot/SWISSPROT;Acc:O15499]
NM_181825	691	727	100	103	529	39	366	654	962	73	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_015715	474	63	454	691	578	138	265	563	829	456	Group III secretory phospholipase A2 precursor (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase GIII) (GIII sPLA2). [Source:Uniprot/SWISSPROT;Acc:Q9NZ20]
NM_013365	72	920	229	427	911	370	313	862	582	298	ADP-ribosylation factor binding protein GGA1 (Golgi-localized, gamma ear-containing, ARF-binding protein 1) (Gamma-adaptin-related protein 1). [Source:Uniprot/SWISSPROT;Acc:Q9UJY5]
NR_000028	72	844	183	890	14	157	928	300	780	75	RNA, U83B small nucleolar (RNU83B) on chromosome 22 [Source:RefSeq_dna;Acc:NR_000028]
NM_021096	907	5	206	793	937	868	253	259	166	953	Voltage-dependent T-type calcium channel alpha-1I subunit (Voltage- gated calcium channel alpha subunit Cav3.3) (Ca(v)3.3). [Source:Uniprot/SWISSPROT;Acc:Q9P0X4]
NM_152868	704	716	592	603	34	716	131	837	358	895	Inward rectifier potassium channel 4 (Potassium channel, inwardly rectifying subfamily J member 4) (Inward rectifier K(+) channel Kir2.3) (Hippocampal inward rectifier) (HIR) (HRK1) (HIRK2). [Source:Uniprot/SWISSPROT;Acc:P48050]
NM_031890	426	579	870	292	15	755	666	485	43	790	Cat eye syndrome critical region protein 6. [Source:Uniprot/SWISSPROT;Acc:Q9BXQ6]
NM_012473	380	335	159	547	509	611	760	212	861	286	Thioredoxin, mitochondrial precursor (Mt-Trx) (MTRX) (Thioredoxin-2). [Source:Uniprot/SWISSPROT;Acc:Q99757]
NM_000407	236	184	16	777	376	493	210	910	584	764	Septin-5 (Peanut-like protein 1) (Cell division control related protein 1) (CDCREL-1). [Source:Uniprot/SWISSPROT;Acc:Q99719]
NM_017584	553	905	70	276	978	138	664	141	837	991	Inositol oxygenase (EC 1.13.99.1) (Myo-inositol oxygenase) (Aldehyde reductase-like 6) (Renal-specific oxidoreductase) (Kidney-specific protein 32). [Source:Uniprot/SWISSPROT;Acc:Q9UGB7]
NM_145174	417	132	544	542	640	186	172	395	537	134	DnaJ homolog subfamily B member 7. [Source:Uniprot/SWISSPROT;Acc:Q7Z6W7]
NM_030882	415	430	90	659	812	743	358	43	653	572	Apolipoprotein-L2 (Apolipoprotein L-II) (ApoL-II). [Source:Uniprot/SWISSPROT;Acc:Q9BQE5]
NM_004900	832	713	453	472	16	128	426	546	885	30	Probable DNA dC->dU editing enzyme APOBEC-3B (EC 3.5.4.-) (Phorbolin- 1-related protein) (Phorbolin-2/3). [Source:Uniprot/SWISSPROT;Acc:Q9UH17]
NM_003595	842	984	373	604	685	713	553	565	518	431	Protein-tyrosine sulfotransferase 2 (EC 2.8.2.20) (Tyrosylprotein sulfotransferase-2) (TPST-2). [Source:Uniprot/SWISSPROT;Acc:O60704]
NM_001003796	661	703	959	807	626	932	674	128	251	359	NHP2-like protein 1 (High mobility group-like nuclear protein 2 homolog 1) ([U4/U6.U5] tri-snRNP 15.5 kDa protein) (OTK27). [Source:Uniprot/SWISSPROT;Acc:P55769]
NM_007194	290	170	717	408	145	587	550	532	274	587	Serine/threonine-protein kinase Chk2 (EC 2.7.1.37) (Cds1). [Source:Uniprot/SWISSPROT;Acc:O96017]
NM_002309	718	555	525	178	16	143	244	769	380	481	Leukemia inhibitory factor precursor (LIF) (Differentiation- stimulating factor) (D factor) (Melanoma-derived LPL inhibitor) (MLPLI) (Emfilermin). [Source:Uniprot/SWISSPROT;Acc:P15018]
NM_001001928	399	411	308	644	569	443	23	719	710	849	Peroxisome proliferator activated receptor alpha (PPAR-alpha). [Source:Uniprot/SWISSPROT;Acc:Q07869]
NM_017590	552	207	78	80	365	723	248	644	736	542	Zinc finger CCCH-type domain containing protein 7B (Rotavirus 'X' associated non-structural protein) (RoXaN). [Source:Uniprot/SWISSPROT;Acc:Q9UGR2]
NM_004121	611	238	482	7	263	695	231	341	697	540	Gamma-glutamyltransferase 5 precursor (EC 2.3.2.2) (Gamma- glutamyltranspeptidase 5) (Gamma-glutamyltransferase-like activity 1) (GGT-rel) [Contains: Gamma-glutamyltransferase 5 heavy chain; Gamma- glutamyltransferase 5 light chain]. [Source:Uniprot/SWISSPROT;Acc:P36269]
NM_006487	888	892	199	432	434	338	352	267	741	887	Fibulin-1 precursor. [Source:Uniprot/SWISSPROT;Acc:P23142]
NM_181835	563	231	537	5	8	583	181	694	912	444	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_014570	423	867	561	381	778	835	962	62	687	446	ADP-ribosylation factor GTPase-activating protein 3 (ARF GAP 3). [Source:Uniprot/SWISSPROT;Acc:Q9NP61]
NM_005740	547	759	121	908	833	999	776	822	445	114	Dynein light chain 4, axonemal. [Source:Uniprot/SWISSPROT;Acc:O96015]
NM_017829	522	463	406	4	262	830	100	866	851	509	Cat eye syndrome critical region protein 5 precursor. [Source:Uniprot/SWISSPROT;Acc:Q9BXW7]
NM_016335	816	193	238	872	277	806	487	642	62	213	Proline oxidase, mitochondrial precursor (EC 1.5.3.-) (Proline dehydrogenase). [Source:Uniprot/SWISSPROT;Acc:O43272]
NM_005198	831	363	332	69	407	797	748	22	853	791	Carnitine O-palmitoyltransferase I, mitochondrial muscle isoform (EC 2.3.1.21) (CPT I) (CPTI-M) (Carnitine palmitoyltransferase 1B) (Carnitine palmitoyltransferase I-like protein). [Source:Uniprot/SWISSPROT;Acc:Q92523]
NM_013313	17	728	389	629	943	306	569	415	407	25	Yippee-like protein 1. [Source:Uniprot/SWISSPROT;Acc:O60688]
NR_002199	343	516	174	507	590	579	943	209	774	188	Hsc70-interacting protein (Hip) (Putative tumor suppressor ST13) (Progesterone receptor-associated p48 protein). [Source:Uniprot/SWISSPROT;Acc:P50502]
NM_032204	533	488	893	651	618	14	356	983	922	818	Activating signal cointegrator 1 complex subunit 2 (ASC-1 complex subunit p100) (Trip4 complex subunit p100). [Source:Uniprot/SWISSPROT;Acc:Q9H1I8]
NM_015380	965	593	270	758	645	722	411	679	77	150	SAM50-like protein CGI-51. [Source:Uniprot/SWISSPROT;Acc:Q9Y512]
NM_005650	11	59	908	215	729	404	670	666	777	191	Transcription factor 20 (Stromelysin 1 PDGF-responsive element-binding protein) (SPRE-binding protein) (Nuclear factor SPBP) (AR1). [Source:Uniprot/SWISSPROT;Acc:Q9UGU0]
NM_020315	83	390	876	635	884	530	6	51	856	47	Pyridoxal phosphate phosphatase (EC 3.1.3.74) (PLP phosphatase). [Source:Uniprot/SWISSPROT;Acc:Q96GD0]
NM_182984	863	110	194	236	434	757	875	237	575	74	HpaII tiny fragments locus 9c protein. [Source:Uniprot/SWISSPROT;Acc:Q8IZ69]
NM_001670	187	78	27	875	75	265	755	310	451	467	Armadillo repeat protein deleted in velo-cardio-facial syndrome. [Source:Uniprot/SWISSPROT;Acc:O00192]
NM_012295	25	260	139	319	123	804	596	871	124	536	Calcineurin-binding protein Cabin 1 (Calcineurin inhibitor) (CAIN). [Source:Uniprot/SWISSPROT;Acc:Q9Y6J0]
NM_001017981	80	725	613	27	402	380	773	188	946	825	similar to RIKEN cDNA 0610009J22 [Source:RefSeq_peptide;Acc:NP_001017981]
NM_152237	733	845	83	902	600	285	655	481	58	58	GAS2-like protein 1 (Growth arrest-specific 2-like 1) (GAS2-related protein on chromosome 22) (GAR22 protein). [Source:Uniprot/SWISSPROT;Acc:Q99501]
NM_014291	684	973	965	831	950	205	838	555	604	204	2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial precursor (EC 2.3.1.29) (AKB ligase) (Glycine acetyltransferase). [Source:Uniprot/SWISSPROT;Acc:O75600]
NM_001018060	635	738	478	910	742	103	233	346	580	417	apoptosis-inducing factor like isoform 1 [Source:RefSeq_peptide;Acc:NP_653305]
NM_030573	6	293	716	755	728	979	908	8	743	834	THAP domain protein 7. [Source:Uniprot/SWISSPROT;Acc:Q9BT49]
NM_004377	976	886	906	830	909	225	803	432	117	854	Carnitine O-palmitoyltransferase I, mitochondrial muscle isoform (EC 2.3.1.21) (CPT I) (CPTI-M) (Carnitine palmitoyltransferase 1B) (Carnitine palmitoyltransferase I-like protein). [Source:Uniprot/SWISSPROT;Acc:Q92523]
NM_001001930	261	716	230	827	786	651	354	282	111	108	Peroxisome proliferator activated receptor alpha (PPAR-alpha). [Source:Uniprot/SWISSPROT;Acc:Q07869]
NM_145748	182	718	484	603	884	972	868	323	160	670	Thioredoxin reductase 2, mitochondrial precursor (EC 1.8.1.9) (TR3) (TR-beta) (Selenoprotein Z) (SelZ). [Source:Uniprot/SWISSPROT;Acc:Q9NNW7]
NM_153334	712	452	377	440	431	341	196	667	270	543	Scavenger receptor class F member 2 precursor (Scavenger receptor expressed by endothelial cells 2 protein) (SREC-II) (SRECRP-1). [Source:Uniprot/SWISSPROT;Acc:Q96GP6]
NM_001007279	584	71	704	247	635	882	18	153	81	910	Ras-like protein RRP22 (RAS-related protein on chromosome 22). [Source:Uniprot/SWISSPROT;Acc:Q92737]
NM_031937	244	296	935	272	89	875	129	71	30	604	TBC1 domain family member 10A (EBP50-PDX interactor of 64 kDa) (EPI64 protein). [Source:Uniprot/SWISSPROT;Acc:Q9BXI6]
NM_032775	594	802	218	617	660	769	356	466	199	292	kelch-like [Source:RefSeq_peptide;Acc:NP_116164]
NM_001196	200	233	399	984	849	297	603	888	470	778	BH3 interacting domain death agonist (BID). [Source:Uniprot/SWISSPROT;Acc:P55957]
NM_002751	91	743	619	199	226	165	814	385	873	32	Mitogen-activated protein kinase 11 (EC 2.7.1.37) (Mitogen-activated protein kinase p38 beta) (MAP kinase p38 beta) (p38b) (p38-2) (Stress- activated protein kinase 2). [Source:Uniprot/SWISSPROT;Acc:Q15759]
NM_001051	522	149	481	842	198	769	757	332	559	820	Somatostatin receptor type 3 (SS3R) (SSR-28). [Source:Uniprot/SWISSPROT;Acc:P32745]
NM_003426	321	137	725	358	249	777	396	20	922	736	Zinc finger protein 74 (hZNF7). [Source:Uniprot/SWISSPROT;Acc:Q16587]
NM_014337	720	44	78	939	4	759	476	388	931	565	Peptidyl-prolyl cis-trans isomerase-like 2 (EC 5.2.1.8) (PPIase) (Rotamase) (Cyclophilin-60) (Cyclophilin-like protein Cyp-60). [Source:Uniprot/SWISSPROT;Acc:Q13356]
NM_145639	71	242	432	940	123	134	869	505	130	992	Apolipoprotein-L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1). [Source:Uniprot/SWISSPROT;Acc:O95236]
NM_007229	701	674	998	150	260	927	354	40	824	227	Protein kinase C and casein kinase substrate in neurons protein 2. [Source:Uniprot/SWISSPROT;Acc:Q9UNF0]
NM_145660	408	222	625	625	272	67	949	577	134	841	Apolipoprotein-L4 precursor (Apolipoprotein L-IV) (ApoL-IV). [Source:Uniprot/SWISSPROT;Acc:Q9BPW4]
NM_003073	994	2	209	494	630	616	854	928	732	576	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily B member 1 (Integrase interactor 1 protein) (hSNF5) (BAF47). [Source:Uniprot/SWISSPROT;Acc:Q12824]
NM_139202	772	18	221	958	695	182	497	106	466	769	Membrane protein MLC1. [Source:Uniprot/SWISSPROT;Acc:Q15049]
NM_138338	394	384	912	50	327	351	430	98	787	909	DNA-directed RNA polymerase III subunit 22.9 kDa polypeptide (EC 2.7.7.6) (RPC8). [Source:Uniprot/SWISSPROT;Acc:Q9Y535]
NM_002073	682	328	838	442	303	989	770	473	37	381	Guanine nucleotide-binding protein G(z), alpha subunit (G(x) alpha chain) (Gz-alpha). [Source:Uniprot/SWISSPROT;Acc:P19086]
NM_021026	565	891	207	87	342	254	910	990	414	219	Ret finger protein-like 1 (RING finger protein 78). [Source:Uniprot/SWISSPROT;Acc:O75677]
NM_145738	867	367	148	615	312	830	245	209	844	413	Synaptogyrin-1. [Source:Uniprot/SWISSPROT;Acc:O43759]
NM_012263	629	668	634	561	580	784	902	330	282	461	Tubulin tyrosine ligase-like protein 1. [Source:Uniprot/SWISSPROT;Acc:O95922]
NM_032052	70	555	432	514	492	281	66	804	172	240	Zinc finger protein 278 (POZ-, AT hook-, and zinc finger-containing protein) (Zinc finger sarcoma gene protein) (BTB-POZ domain zinc finger transcription factor) (Protein kinase A RI-alpha subunit- associated protein) (Zinc finger and BTB domain containin [Source:Uniprot/SWISSPROT;Acc:Q9HBE1]
NM_152841	268	743	371	643	911	701	521	78	84	341	Hermansky-Pudlak syndrome 4 protein (Light-ear protein homolog). [Source:Uniprot/SWISSPROT;Acc:Q9NQG7]
NM_005297	335	796	369	421	532	158	617	86	84	532	Melanin-concentrating hormone receptor 1 (MCH receptor 1) (MCHR-1) (MCH-R1) (MCH1R) (MCH-1R) (MCHR) (G-protein coupled receptor 24) (Somatostatin receptor-like protein) (SLC-1). [Source:Uniprot/SWISSPROT;Acc:Q99705]
NM_000262	383	189	378	419	675	667	214	88	178	504	Alpha-N-acetylgalactosaminidase precursor (EC 3.2.1.49) (Alpha- galactosidase B). [Source:Uniprot/SWISSPROT;Acc:P17050]
NM_145699	39	501	596	313	323	812	285	75	481	215	Probable DNA dC->dU editing enzyme APOBEC-3A (EC 3.5.4.-) (Phorbolin- 1). [Source:Uniprot/SWISSPROT;Acc:P31941]
NM_000106	825	46	255	439	682	393	954	641	628	561	Cytochrome P450 2D6 (EC 1.14.14.1) (CYPIID6) (P450-DB1) (Debrisoquine 4-hydroxylase). [Source:Uniprot/SWISSPROT;Acc:P10635]
NM_145640	462	11	66	921	420	849	919	727	491	404	Apolipoprotein-L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1). [Source:Uniprot/SWISSPROT;Acc:O95236]
NM_004076	244	907	104	251	218	722	599	494	658	831	Beta crystallin B3 (Beta-B3-crystallin). [Source:Uniprot/SWISSPROT;Acc:P26998]
NM_001835	165	571	735	781	489	940	25	467	505	440	Clathrin heavy chain 2 (CLH-22). [Source:Uniprot/SWISSPROT;Acc:P53675]
NM_139124	574	578	176	592	108	576	686	626	69	227	C-jun-amino-terminal kinase interacting protein 2 (JNK-interacting protein 2) (JIP-2) (JNK MAP kinase scaffold protein 2) (Islet-brain-2) (IB-2) (Mitogen-activated protein kinase 8-interacting protein 2). [Source:Uniprot/SWISSPROT;Acc:Q13387]
NM_002969	973	529	611	222	988	873	235	916	606	719	Mitogen-activated protein kinase 12 (EC 2.7.1.37) (Extracellular signal-regulated kinase 6) (ERK-6) (ERK5) (Stress-activated protein kinase 3) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma). [Source:Uniprot/SWISSPROT;Acc:P53778]
NM_000631	197	716	580	379	359	156	451	303	635	178	Neutrophil cytosol factor 4 (NCF-4) (Neutrophil NADPH oxidase factor 4) (p40-phox) (p40phox). [Source:Uniprot/SWISSPROT;Acc:Q15080]
NR_002323	823	893	696	662	899	506	68	730	696	438	taurine upregulated gene 1 (TUG1) on chromosome 22 [Source:RefSeq_dna;Acc:NR_002323]
NM_013236	311	857	840	170	407	316	345	655	30	999	Ataxin-10 (Spinocerebellar ataxia type 10 protein) (Brain protein E46 homolog). [Source:Uniprot/SWISSPROT;Acc:Q9UBB4]
NM_016418	284	919	850	136	761	780	524	940	89	939	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_080647	532	721	578	241	517	497	836	390	285	618	T-box transcription factor TBX1 (T-box protein 1) (Testis-specific T- box protein). [Source:Uniprot/SWISSPROT;Acc:O43435]
NM_152243	2	878	114	463	806	442	541	709	860	793	Cdc42 effector protein 1 (Binder of Rho GTPases 5) (Serum protein MSE55). [Source:Uniprot/SWISSPROT;Acc:Q00587]
NM_206954	265	232	101	935	347	151	776	823	340	56	Melanoma antigen preferentially expressed in tumors (Preferentially expressed antigen of melanoma) (OPA-interacting protein 4) (OIP4). [Source:Uniprot/SWISSPROT;Acc:P78395]
NM_000853	881	664	514	946	470	633	840	919	722	287	Glutathione S-transferase theta 1 (EC 2.5.1.18) (GST class-theta 1) (Glutathione transferase T1-1). [Source:Uniprot/SWISSPROT;Acc:P30711]
NM_001008496	878	127	188	448	227	46	113	863	704	579	piwi-like 3 [Source:RefSeq_peptide;Acc:NP_001008496]
NM_014227	249	390	885	30	61	13	200	478	723	459	Low affinity sodium-glucose cotransporter (Sodium/glucose cotransporter 3) (Na(+)/glucose cotransporter 3). [Source:Uniprot/SWISSPROT;Acc:Q9NY91]
NM_018006	196	584	834	701	163	358	230	125	751	923	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (EC 2.1.1.61). [Source:Uniprot/SWISSPROT;Acc:O75648]
NM_014460	825	646	749	803	868	553	681	766	536	361	Cold shock domain protein C2 (RNA-binding protein PIPPin). [Source:Uniprot/SWISSPROT;Acc:Q9Y534]
NM_181833	367	761	260	454	116	966	694	806	699	491	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_153050	734	549	763	762	490	679	842	121	623	676	Myotubularin-related protein 3 (EC 3.1.3.48) (FYVE domain-containing dual specificity protein phosphatase 1) (FYVE-DSP1) (Zinc finger FYVE domain containing protein 10). [Source:Uniprot/SWISSPROT;Acc:Q13615]
NM_005080	616	660	942	324	582	847	687	507	787	938	X box binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5). [Source:Uniprot/SWISSPROT;Acc:P17861]
NM_001002877	380	266	785	746	670	897	465	769	65	372	Protein C22orf19 (NF2/meningioma region protein pK1.3) (Placental protein 39.2). [Source:Uniprot/SWISSPROT;Acc:Q13769]
NM_021974	919	218	969	858	994	982	921	634	695	51	DNA-directed RNA polymerases I, II, and III 14.4 kDa polypeptide (EC 2.7.7.6) (RPB6) (RPABC14.4) (RPB14.4) (RPABC2). [Source:Uniprot/SWISSPROT;Acc:P61218]
NM_181828	441	155	83	437	403	582	840	116	324	528	Merlin (Moesin-ezrin-radixin-like protein) (Schwannomin) (Schwannomerlin) (Neurofibromin 2). [Source:Uniprot/SWISSPROT;Acc:P35240]
NM_015374	139	31	484	318	992	679	290	542	720	323	Sad1/unc-84-like protein 2 (Rab5-interacting protein) (Rab5IP). [Source:Uniprot/SWISSPROT;Acc:Q9UH99]
NM_001018051	768	176	714	346	621	59	122	793	728	7	DNA-directed RNA polymerase III subunit 22.9 kDa polypeptide (EC 2.7.7.6) (RPC8). [Source:Uniprot/SWISSPROT;Acc:Q9Y535]
NM_016426	646	626	510	335	81	717	68	88	769	126	G2 and S phase expressed protein 1 (B99 homolog). [Source:Uniprot/SWISSPROT;Acc:Q9NYZ3]
NM_004737	485	741	610	674	215	662	802	365	960	115	Glycosyltransferase-like protein LARGE (EC 2.4.-.-) (Acetylglucosaminyltransferase-like protein). [Source:Uniprot/SWISSPROT;Acc:O95461]
NM_014551	952	671	930	91	721	217	914	731	663	901	kleisin beta isoform 2 [Source:RefSeq_peptide;Acc:NP_689512]
